System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(QFM+1.0) rhol rhos viscosity aH2O chisqr
82 500.00 1158.26 94.390162 0.9958499011148184 0.996588 -1121970.054176 257.028048 35.280051 140.332803 -205.056441 3227.913002 -7.747 0.000 2.673472 3.254411 1.763 n/a n/a
83 500.00 1153.28 93.999654 0.9958990062182969 0.996632 -1117928.868551 255.498339 35.136125 139.636946 -204.680499 3214.305781 -7.806 0.000 2.673331 3.257854 1.793 n/a n/a
84 500.00 1148.30 93.615391 0.9959472884315813 0.996676 -1113965.558090 253.988297 34.994476 138.952863 -204.312718 3200.925853 -7.866 0.000 2.673193 3.261350 1.824 n/a n/a
85 500.00 1143.32 93.237233 0.9959947490821517 0.996718 -1110078.460261 252.497445 34.855052 138.280291 -203.952912 3187.768160 -7.927 0.000 2.673057 3.264899 1.856 n/a n/a
86 500.00 1138.34 92.865040 0.9960413888841635 0.996760 -1106265.944729 251.025317 34.717803 137.618974 -203.600900 3174.827733 -7.987 0.000 2.672924 3.268505 1.887 n/a n/a
87 500.00 1133.36 92.536038 0.9464614985078766 0.958760 -1104917.295282 248.320747 34.416080 135.216273 -198.574762 3062.533430 -8.049 0.000 2.654255 3.490547 1.984 n/a n/a
88 500.00 1128.38 87.642895 0.9260501207624372 0.944143 -1052995.175077 234.897676 32.773556 127.092143 -191.190110 2854.108695 -8.110 0.000 2.622950 3.540387 2.138 n/a n/a
89 500.00 1123.40 81.206647 0.9372813066206930 0.953074 -984889.871615 218.464409 30.760308 117.853307 -184.806758 2661.094961 -8.172 0.000 2.596237 3.528435 2.277 n/a n/a
90 500.00 1118.42 76.148348 0.9462524699342179 0.960097 -930996.903177 205.458625 29.164604 110.547364 -179.662718 2508.418412 -8.235 0.000 2.573334 3.516895 2.403 n/a n/a
91 500.00 1113.43 72.083495 0.9532856465642789 0.965545 -887397.855680 194.927928 27.871245 104.637375 -175.424030 2384.727647 -8.298 0.000 2.553466 3.506500 2.518 n/a n/a
92 500.00 1108.45 68.739185 0.9588463714198828 0.969818 -851302.662535 186.198660 26.798574 99.745628 -171.859610 2282.194770 -8.361 0.000 2.536013 3.497468 2.625 n/a n/a
93 500.00 1103.47 65.929773 0.9633232295546846 0.973238 -820806.712674 178.812058 25.890884 95.614878 -168.810647 2195.500358 -8.425 0.000 2.520506 3.489825 2.725 n/a n/a
94 500.00 1098.49 63.528469 0.9670033651021269 0.976035 -794604.946091 172.453956 25.109975 92.068642 -166.166310 2120.979692 -8.489 0.000 2.506597 3.483548 2.818 n/a n/a
95 500.00 1093.51 61.446989 0.9700944694785270 0.978376 -771785.990527 166.904907 24.429141 88.983411 -163.847687 2056.053412 -8.554 0.000 2.494024 3.478618 2.907 n/a n/a
96 500.00 1088.53 59.622531 0.9727482959536115 0.980378 -751700.244967 162.008340 23.829326 86.270940 -161.797629 1998.870389 -8.620 0.000 2.482592 3.475032 2.992 n/a n/a
97 500.00 1083.55 58.009588 0.9750753218123684 0.982129 -733876.933363 157.650495 23.296696 83.867032 -159.974227 1948.085849 -8.685 0.000 2.472153 3.472757 3.073 n/a n/a
98 500.00 1078.57 56.575703 0.9703268651387842 0.977307 -718089.332090 153.672882 22.820325 81.639497 -157.554435 1897.844627 -8.752 0.000 2.461472 3.241821 3.144 n/a n/a
99 500.00 1073.58 54.911334 0.9681033328126206 0.974926 -698976.490163 149.144466 22.248276 79.130449 -154.668471 1846.870873 -8.818 0.000 2.450845 3.139649 3.207 n/a n/a
100 500.00 1068.60 53.173400 0.9696887711135780 0.976144 -678587.540584 144.478691 21.640857 76.573989 -151.858567 1798.847938 -8.885 0.000 2.440834 3.121986 3.268 n/a n/a
101 500.00 1063.62 51.574425 0.9710371663620444 0.977161 -659770.740562 140.171676 21.079145 74.219589 -149.220837 1754.902720 -8.953 0.000 2.431371 3.102726 3.326 n/a n/a
102 500.00 1058.64 50.093288 0.9702893098790206 0.976177 -642302.519684 136.148749 20.557602 72.000042 -146.557368 1712.722305 -9.021 0.000 2.422032 3.038918 3.384 n/a n/a
103 500.00 1053.66 48.619071 0.9716280824976611 0.977247 -624565.300189 132.158193 20.031669 69.806712 -143.993853 1672.473585 -9.090 0.000 2.413155 3.026502 3.440 n/a n/a
104 500.00 1048.68 47.253372 0.9727716057751919 0.978154 -608033.923475 128.451641 19.542413 67.773090 -141.574894 1635.427504 -9.159 0.000 2.404686 3.013725 3.493 n/a n/a
