Bulk Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
49 500.00 1262.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
50 500.00 1261.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
51 500.00 1258.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
50 500.00 1259.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
51 500.00 1260.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
51 500.00 1258.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
52 500.00 1259.00 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
52 500.00 1257.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
52 500.00 1259.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
53 500.00 1258.90 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
53 500.00 1256.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
53 500.00 1260.00 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
54 500.00 1258.80 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
54 500.00 1259.90 100.000000 47.0849 0.660337 12.3454 2.32898 0 7.43452 0.191402 12.3741 0 0 10.7281 1.90445 0.9283 0.191402 3.82804 0
54 500.00 1257.00 100.000000 46.1863 0.647734 12.1098 2.59606 0 7.01215 0.187749 12.138 0 0 10.5233 1.8681 0.910583 0.187749 5.63247 0
55 500.00 1258.70 100.000000 46.6337 0.654009 12.2271 2.41151 0 7.26888 0.189568 12.2556 0 0 10.6253 1.8862 0.919404 0.189568 4.7392 0
