Liquid Composition:
index Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MnO MgO NiO CoO CaO Na2O K2O P2O5 H2O CO2 
31 500.00 1310.00 97.143537 48.0049 0.67324 12.5867 2.48242 0 7.48262 0.195142 12.6159 0 0 10.9377 1.94166 0.946439 0.195142 1.93809 0
30 500.00 1313.00 96.230332 47.9955 0.673108 12.5842 2.69776 0 7.28684 0.195104 12.6135 0 0 10.9356 1.94128 0.946254 0.195104 1.93578 0
31 500.00 1310.00 98.073469 48.0098 0.673309 12.5879 2.37473 0 7.58056 0.195162 12.6172 0 0 10.9388 1.94186 0.946535 0.195162 1.93886 0
31 500.00 1310.00 96.231148 47.9951 0.673103 12.5841 2.69773 0 7.28677 0.195102 12.6134 0 0 10.9355 1.94127 0.946246 0.195102 1.93661 0
32 500.00 1307.00 97.144375 48.0045 0.673234 12.5866 2.4824 0 7.48255 0.19514 12.6158 0 0 10.9376 1.94165 0.946431 0.19514 1.93894 0
32 500.00 1307.00 98.074320 48.0094 0.673303 12.5878 2.37471 0 7.5805 0.19516 12.6171 0 0 10.9387 1.94184 0.946527 0.19516 1.93971 0
33 500.00 1304.00 97.145218 48.0041 0.673228 12.5864 2.48238 0 7.48249 0.195139 12.6157 0 0 10.9375 1.94163 0.946422 0.195139 1.93979 0
32 500.00 1307.00 96.231969 47.9947 0.673097 12.584 2.69771 0 7.28671 0.195101 12.6132 0 0 10.9354 1.94125 0.946238 0.195101 1.93744 0
33 500.00 1304.00 98.075175 48.009 0.673297 12.5877 2.37469 0 7.58043 0.195159 12.617 0 0 10.9386 1.94183 0.946519 0.195159 1.94057 0
34 500.00 1301.00 97.146065 48.0037 0.673222 12.5863 2.48236 0 7.48242 0.195137 12.6156 0 0 10.9374 1.94161 0.946414 0.195137 1.94065 0
33 500.00 1304.00 96.232794 47.9943 0.673091 12.5839 2.69769 0 7.28665 0.195099 12.6131 0 0 10.9353 1.94123 0.946229 0.195099 1.93829 0
34 500.00 1301.00 98.076035 48.0086 0.673291 12.5876 2.37467 0 7.58037 0.195157 12.6169 0 0 10.9385 1.94181 0.94651 0.195157 1.94143 0
35 500.00 1298.00 97.146917 48.0033 0.673217 12.5862 2.48234 0 7.48236 0.195135 12.6155 0 0 10.9373 1.9416 0.946406 0.195135 1.94151 0
34 500.00 1301.00 96.233624 47.9939 0.673085 12.5838 2.69767 0 7.28659 0.195097 12.613 0 0 10.9352 1.94122 0.946221 0.195097 1.93913 0
36 500.00 1295.00 97.147774 48.0028 0.673211 12.5861 2.48231 0 7.48229 0.195134 12.6154 0 0 10.9372 1.94158 0.946398 0.195134 1.94237 0
35 500.00 1298.00 98.076900 48.0081 0.673285 12.5875 2.37465 0 7.5803 0.195155 12.6168 0 0 10.9384 1.94179 0.946502 0.195155 1.94229 0
